age,number
0,0
1,0
2,0
3,0
5,0
6,0
7,0
8,0
10,0
11,0
12,0
13,0
15,0
16,0
17,0
18,0
20,0
21,0
22,13892.7
23,27785.4
25,45943.8
26,61258.4
27,76573
28,91887.6
30,105480.2
31,120548.8
32,135617.4
33,150686
35,142139
36,142139
37,142139
38,142139
40,126513
41,126513
42,126513
43,126513
45,131734
46,131734
47,131734
48,131734
50,119460
51,119460
52,119460
53,119460
55,123599
56,123599
57,123599
58,123599
60,111888
61,111888
62,111888
63,111888
65,98347
66,98347
67,98347
68,98347
70,85475
71,85475
72,85475
73,85475
75,48164
76,48164
77,48164
78,48164
79,48164
