location,date,new_diagnoses,new_deaths,new_tests
NSW,2020-03-01,1,0,0
NSW,2020-03-02,4,0,0
NSW,2020-03-03,6,1,0
NSW,2020-03-04,7,0,0
NSW,2020-03-05,3,0,0
NSW,2020-03-06,3,0,0
NSW,2020-03-07,8,0,0
NSW,2020-03-08,4,1,420
NSW,2020-03-09,7,0,1155
NSW,2020-03-10,14,0,1794
NSW,2020-03-11,4,0,56
NSW,2020-03-12,13,0,4635
NSW,2020-03-13,14,0,1829
NSW,2020-03-14,20,1,3811
NSW,2020-03-15,22,0,2071
NSW,2020-03-16,37,0,4397
NSW,2020-03-17,39,1,3280
NSW,2020-03-18,57,0,5556
NSW,2020-03-19,40,0,3289
NSW,2020-03-20,46,1,1562
NSW,2020-03-21,83,0,6241
NSW,2020-03-22,97,0,5771
NSW,2020-03-23,136,0,4278
NSW,2020-03-24,149,1,4907
NSW,2020-03-25,211,0,6329
NSW,2020-03-26,190,0,5829
NSW,2020-03-27,186,0,3683
NSW,2020-03-28,212,1,8835
NSW,2020-03-29,174,0,6575
NSW,2020-03-30,127,0,3347
NSW,2020-03-31,114,0,3505
NSW,2020-04-01,150,2,5592
NSW,2020-04-02,116,0,4994
NSW,2020-04-03,91,2,3918
NSW,2020-04-04,104,0,3178
NSW,2020-04-05,87,4,3800
NSW,2020-04-06,57,3,2605
NSW,2020-04-07,49,2,2108
NSW,2020-04-08,48,0,2945
NSW,2020-04-09,39,0,3906
NSW,2020-04-10,49,1,4444
NSW,2020-04-11,35,1,3506
NSW,2020-04-12,0,1,830
NSW,2020-04-13,9,2,2603
NSW,2020-04-14,7,0,1429
NSW,2020-04-15,205,0,1305
NSW,2020-04-16,11,0,3200
NSW,2020-04-17,29,0,4988
NSW,2020-04-18,10,1,5152
NSW,2020-04-19,21,1,4683
NSW,2020-04-20,6,1,3489
NSW,2020-04-21,6,1,2502
NSW,2020-04-22,2,2,4291
NSW,2020-04-23,5,1,5645
NSW,2020-04-24,6,1,7352
NSW,2020-04-25,12,1,4840
NSW,2020-04-26,8,0,5459
NSW,2020-04-27,2,1,4418
NSW,2020-04-28,5,5,4112
NSW,2020-04-29,7,1,5414
NSW,2020-04-30,0,0,7387
NSW,2020-05-01,9,1,7038
NSW,2020-05-02,6,0,8810
NSW,2020-05-03,4,1,7234
NSW,2020-05-04,0,1,5571
NSW,2020-05-05,2,1,5296
NSW,2020-05-06,7,0,7256
NSW,2020-05-07,2,0,10545
NSW,2020-05-08,3,0,9461
