"","date","new_diagnoses","new_deaths"
"1",2020-03-09,8,0
"2",2020-03-10,2,0
"3",2020-03-11,9,0
"4",2020-03-12,4,0
"5",2020-03-13,6,0
"6",2020-03-14,7,1
"7",2020-03-15,22,0
"8",2020-03-16,12,0
"9",2020-03-17,21,1
"10",2020-03-18,24,0
"11",2020-03-19,13,0
"12",2020-03-20,32,1
"13",2020-03-21,43,0
"14",2020-03-22,26,0
"15",2020-03-23,33,0
"16",2020-03-24,53,1
"17",2020-03-25,57,0
"18",2020-03-26,56,0
"19",2020-03-27,69,0
"20",2020-03-28,46,1
"21",2020-03-29,46,0
"22",2020-03-30,27,0
"23",2020-03-31,59,0
"24",2020-04-01,72,2
"25",2020-04-02,56,0
"26",2020-04-03,52,2
"27",2020-04-04,42,0
"28",2020-04-05,27,4
"29",2020-04-06,20,3
"30",2020-04-07,20,2
"31",2020-04-08,32,0
"32",2020-04-09,18,0
"33",2020-04-10,15,1
"34",2020-04-11,10,1
"35",2020-04-12,8,1
"36",2020-04-13,3,2
"37",2020-04-14,15,0
"38",2020-04-15,17,0
"39",2020-04-16,16,0
"40",2020-04-17,11,0
"41",2020-04-18,17,1
"42",2020-04-19,7,1
"43",2020-04-20,2,1
"44",2020-04-21,6,1
"45",2020-04-22,2,2
"46",2020-04-23,7,1
"47",2020-04-24,12,1
"48",2020-04-25,3,1
"49",2020-04-26,0,0
"50",2020-04-27,5,1
"51",2020-04-28,5,5
"52",2020-04-29,2,1
"53",2020-04-30,7,0
"54",2020-05-01,1,1
"55",2020-05-02,2,0
"56",2020-05-03,1,1
"57",2020-05-04,4,1
"58",2020-05-05,2,1
"59",2020-05-06,3,0
"60",2020-05-07,2,0
"61",2020-05-08,3,0
"62",2020-05-09,0,0
"63",2020-05-10,0,0
"64",2020-05-11,0,0
"65",2020-05-12,5,0
"66",2020-05-13,1,1
"67",2020-05-14,1,0
"68",2020-05-15,0,0
"69",2020-05-16,0,0
"70",2020-05-17,0,0
"71",2020-05-18,0,1
"72",2020-05-19,0,1
"73",2020-05-20,1,0
"74",2020-05-21,0,0
"75",2020-05-22,0,1
"76",2020-05-23,0,0
"77",2020-05-24,0,0
"78",2020-05-25,0,0
"79",2020-05-26,0,0
"80",2020-05-27,0,0
"81",2020-05-28,0,0
"82",2020-05-29,0,0
"83",2020-05-30,0,0
"84",2020-05-31,0,0
"85",2020-06-01,0,0
"86",2020-06-02,0,0
"87",2020-06-03,0,0
"88",2020-06-04,0,0
"89",2020-06-05,0,0
"90",2020-06-06,0,0
"91",2020-06-07,0,0
"92",2020-06-08,0,0
"93",2020-06-09,0,0
"94",2020-06-10,0,0
"95",2020-06-11,1,0
"96",2020-06-12,0,0
"97",2020-06-13,1,0
"98",2020-06-14,1,0
"99",2020-06-15,0,0
"100",2020-06-16,0,0
"101",2020-06-17,0,0
"102",2020-06-18,0,0
"103",2020-06-19,0,0
"104",2020-06-20,0,0
"105",2020-06-21,0,0
"106",2020-06-22,0,0
"107",2020-06-23,0,0
"108",2020-06-24,1,0
"109",2020-06-25,2,0
"110",2020-06-26,0,0
"111",2020-06-27,0,0
"112",2020-06-28,0,0
"113",2020-06-29,0,0
"114",2020-06-30,0,0
"115",2020-07-01,0,0
"116",2020-07-02,1,0
"117",2020-07-03,0,0
"118",2020-07-04,0,0
"119",2020-07-05,0,0
"120",2020-07-06,3,0
"121",2020-07-07,1,0
"122",2020-07-08,0,0
"123",2020-07-09,2,0
"124",2020-07-10,2,0
"125",2020-07-11,1,0
"126",2020-07-12,8,0
"127",2020-07-13,13,0
"128",2020-07-14,7,0
"129",2020-07-15,5,0
"130",2020-07-16,8,0
"131",2020-07-17,8,0
"132",2020-07-18,13,0
"133",2020-07-19,16,0
"134",2020-07-20,14,0
"135",2020-07-21,13,0
"136",2020-07-22,13,0
"137",2020-07-23,5,0
"138",2020-07-24,12,0
"139",2020-07-25,13,0
"140",2020-07-26,5,0
"141",2020-07-27,13,0
"142",2020-07-28,18,0
"143",2020-07-29,14,0
"144",2020-07-30,18,0
"145",2020-07-31,11,0
"146",2020-08-01,12,1
"147",2020-08-02,4,0
"148",2020-08-03,12,0
"149",2020-08-04,8,0
"150",2020-08-05,13,0
"151",2020-08-06,11,0
"152",2020-08-07,7,0
"153",2020-08-08,12,0
"154",2020-08-09,11,0
"155",2020-08-10,19,0
"156",2020-08-11,12,0
"157",2020-08-12,5,0
"158",2020-08-13,10,0
"159",2020-08-14,7,0
"160",2020-08-15,5,0
"161",2020-08-16,4,0
"162",2020-08-17,1,0
"163",2020-08-18,6,0
"164",2020-08-19,1,0
"165",2020-08-20,5,0
"166",2020-08-21,7,0
"167",2020-08-22,0,0
"168",2020-08-23,1,0
"169",2020-08-24,2,0
"170",2020-08-25,6,0
"171",2020-08-26,11,0
"172",2020-08-27,16,0
"173",2020-08-28,8,0
"174",2020-08-29,6,0
"175",2020-08-30,4,0
"176",2020-08-31,11,0
"177",2020-09-01,16,0
"178",2020-09-02,7,0
"179",2020-09-03,6,0
"180",2020-09-04,6,0
"181",2020-09-05,3,0
"182",2020-09-06,4,0
"183",2020-09-07,9,0
"184",2020-09-08,3,0
"185",2020-09-09,6,0
"186",2020-09-10,4,0
"187",2020-09-11,6,0
"188",2020-09-12,2,0
"189",2020-09-13,2,0
"190",2020-09-14,2,0
"191",2020-09-15,3,0
"192",2020-09-16,3,0
"193",2020-09-17,0,0
"194",2020-09-18,1,0
"195",2020-09-19,1,0
"196",2020-09-20,1,0
"197",2020-09-21,0,0
"198",2020-09-22,0,0
"199",2020-09-23,1,0
"200",2020-09-24,0,0
"201",2020-09-25,0,0
"202",2020-09-26,0,0
"203",2020-09-27,0,0
"204",2020-09-28,0,0
"205",2020-09-29,0,0
"206",2020-09-30,0,0
